Student_ID,Age,Gender,Marital_Status,Course,Application_Method,Residence_Location,Parental_Education,Parental_Income_Level,Employment_Status,Enrolled_Units,Credited_Units,Evaluated_Units,Approved_Units,Average_grade,Retention,Unemployment_Rate,Inflation_Rate,Regional_GDP,Year,student_status,Pass_rate_%,Academic_performance,Progression_success,Student_risk,WP_indicator
STUD_14,22,Female,Married,Technologies,Referral,Rural,Bachelor,66548,Employed,4,3,5,0,2,0,5,3,25000,2021,withdrew,0,Low,At Risk,High,WP Group
STUD_15,30,Other,Single,Management,Online,Suburban,None,57921,Employed,6,7,1,8,1,0,5,3,25000,2021,withdrew,100,Low,Successful,High,WP Group
STUD_16,25,Male,Married,Social Service,In-person,Urban,High School,58843,Part-time,4,1,1,6,1,0,5,3,25000,2021,withdrew,100,Low,Successful,High,WP Group
STUD_17,20,Female,Divorced,Management,Referral,Rural,Master,119068,Employed,4,2,3,3,2,1,5,3,25000,2021,continued,100,Low,Successful,Low,WP Group
STUD_18,19,Female,Divorced,Management,Referral,Urban,PhD,85758,Part-time,5,2,0,1,0,0,5,3,25000,2021,withdrew,0,Low,At Risk,High,WP Group
STUD_19,18,Other,Widowed,Agronomy,Referral,Rural,High School,36301,Unemployed,2,3,3,4,4,1,5,3,25000,2021,continued,100,high,Successful,Low,WP Group
STUD_20,30,Female,Married,Nursing,Online,Urban,High School,85634,Part-time,8,7,3,0,3,0,5,3,25000,2021,withdrew,0,Medium,At Risk,High,WP Group
STUD_21,23,Male,Married,Social Service,Referral,Rural,High School,48970,Employed,7,1,7,8,2,0,5,3,25000,2021,withdrew,100,Low,Successful,High,WP Group
STUD_22,27,Other,Married,Management,In-person,Urban,PhD,21548,Employed,7,3,3,8,1,0,5,3,25000,2021,withdrew,100,Low,Successful,High,Non-WP Group
STUD_24,25,Other,Widowed,Technologies,Online,Rural,Master,99053,Employed,2,4,6,1,1,0,5,3,25000,2021,withdrew,17,Low,At Risk,High,WP Group
STUD_25,26,Male,Divorced,Social Service,Online,Urban,Bachelor,116214,Employed,3,2,0,0,3,0,5,3,25000,2021,withdrew,0,Medium,At Risk,High,Non-WP Group
STUD_26,27,Other,Married,Technologies,In-person,Urban,Master,64703,Employed,2,4,3,7,1,1,5,3,25000,2021,continued,100,Low,Successful,Low,Non-WP Group
STUD_27,24,Other,Married,Design,Online,Urban,High School,31900,Employed,8,5,1,2,1,0,5,3,25000,2021,withdrew,100,Low,Successful,High,WP Group
STUD_28,28,Other,Married,Education,Referral,Rural,PhD,97703,Part-time,2,5,3,0,2,1,5,3,25000,2021,continued,0,Low,At Risk,Medium,WP Group
STUD_29,20,Female,Divorced,Agronomy,In-person,Rural,Master,97291,Unemployed,8,1,7,7,0,1,5,3,25000,2021,continued,100,Low,Successful,Low,WP Group
STUD_30,30,Male,Widowed,Education,Online,Rural,High School,97166,Unemployed,1,7,8,8,6,1,5,3,25000,2021,continued,100,high,Successful,Low,WP Group
STUD_31,22,Female,Single,Nursing,Online,Suburban,High School,45902,Part-time,4,1,1,0,3,0,5,3,25000,2021,withdrew,0,Medium,At Risk,High,WP Group
STUD_32,24,Female,Divorced,Design,Referral,Rural,High School,45670,Unemployed,6,4,2,1,2,0,5,3,25000,2021,withdrew,50,Low,At Risk,High,WP Group
STUD_33,23,Male,Single,Education,Referral,Rural,None,112168,Part-time,5,3,0,1,2,0,5,3,25000,2021,withdrew,0,Low,At Risk,High,WP Group
STUD_34,25,Female,Single,Journalism,Referral,Rural,None,106985,Part-time,1,3,6,5,1,0,5,3,25000,2021,withdrew,83,Low,Successful,High,WP Group
STUD_35,21,Male,Married,Journalism,Referral,Rural,High School,114786,Part-time,5,3,2,7,1,1,5,3,25000,2021,continued,100,Low,Successful,Low,WP Group
STUD_36,27,Male,Divorced,Nursing,Online,Suburban,Bachelor,105248,Employed,2,8,2,0,1,1,5,3,25000,2021,continued,0,Low,At Risk,Medium,Non-WP Group
STUD_37,29,Male,Widowed,Technologies,In-person,Suburban,None,116010,Part-time,1,1,3,5,1,0,5,3,25000,2021,withdrew,100,Low,Successful,High,WP Group
STUD_38,21,Male,Widowed,Nursing,Online,Rural,PhD,109683,Employed,8,4,0,4,1,0,5,3,25000,2021,withdrew,0,Low,At Risk,High,WP Group
STUD_39,28,Male,Widowed,Journalism,Referral,Suburban,None,65367,Unemployed,4,8,4,6,0,1,5,3,25000,2021,continued,100,Low,Successful,Low,WP Group
STUD_43,19,Female,Married,Management,In-person,Urban,None,77635,Employed,1,1,1,6,5,1,5,3,25000,2021,continued,100,high,Successful,Low,WP Group
STUD_44,23,Male,Widowed,Nursing,Referral,Rural,Master,64686,Employed,8,5,8,4,2,1,5,3,25000,2021,continued,50,Low,At Risk,Medium,WP Group
STUD_45,28,Female,Divorced,Education,Referral,Urban,Master,101540,Employed,3,4,1,6,2,0,5,3,25000,2021,withdrew,100,Low,Successful,High,Non-WP Group
STUD_46,19,Other,Single,Agronomy,In-person,Rural,Bachelor,82756,Employed,4,5,3,7,3,1,5,3,25000,2021,continued,100,Medium,Successful,Low,WP Group
STUD_47,28,Male,Divorced,Social Service,Referral,Urban,PhD,69521,Employed,7,3,4,5,,0,5,3,25000,2021,withdrew,100,Low,Successful,High,Non-WP Group
STUD_48,30,Male,Single,Nursing,Referral,Urban,None,93861,Unemployed,2,6,0,2,2,1,5,3,25000,2021,continued,0,Low,At Risk,Medium,WP Group
STUD_49,18,Other,Married,Design,Online,Rural,Bachelor,99315,Employed,6,4,8,7,3,0,5,3,25000,2021,withdrew,88,Medium,Successful,High,WP Group
STUD_50,30,Male,Married,Education,In-person,Urban,PhD,26881,Part-time,1,3,3,0,4,0,5,3,25000,2021,withdrew,0,high,At Risk,High,WP Group
STUD_51,23,Other,Widowed,Education,In-person,Suburban,High School,28275,Part-time,2,5,6,0,3,1,5,3,25000,2021,continued,0,Medium,At Risk,Medium,WP Group
STUD_52,28,Other,Married,Journalism,In-person,Rural,None,74208,Unemployed,3,2,6,5,3,1,5,3,25000,2021,continued,83,Medium,Successful,Low,WP Group
STUD_53,24,Male,Married,Social Service,Referral,Suburban,High School,77593,Employed,6,0,4,1,4,1,5,3,25000,2021,continued,25,high,At Risk,Medium,WP Group
STUD_54,20,Male,Single,Agronomy,Referral,Suburban,Bachelor,45313,Employed,3,5,7,0,2,0,5,3,25000,2021,withdrew,0,Low,At Risk,High,Non-WP Group
STUD_55,25,Male,Married,Journalism,In-person,Suburban,None,53106,Employed,3,8,4,2,0,1,5,3,25000,2021,continued,50,Low,At Risk,Medium,WP Group
STUD_56,30,Other,Married,Management,In-person,Urban,Master,86382,Unemployed,4,0,6,0,0,1,5,3,25000,2021,continued,0,Low,At Risk,Medium,Non-WP Group
STUD_57,18,Male,Single,Agronomy,Referral,Suburban,PhD,23060,Part-time,6,8,0,6,2,1,5,3,25000,2021,continued,0,Low,At Risk,Medium,WP Group
STUD_58,19,Other,Divorced,Social Service,Referral,Rural,Bachelor,58019,Part-time,6,2,4,6,1,1,5,3,25000,2021,continued,100,Low,Successful,Low,WP Group
STUD_60,20,Other,Widowed,Design,Referral,Urban,High School,117554,Employed,4,4,1,3,2,1,5,3,25000,2021,continued,100,Low,Successful,Low,WP Group
STUD_61,19,Male,Single,Education,Referral,Suburban,None,99836,Unemployed,4,6,1,0,4,0,5,3,25000,2021,withdrew,0,high,At Risk,High,WP Group
STUD_63,22,Other,Widowed,Education,Online,Urban,Bachelor,21036,Part-time,1,3,3,7,1,1,5,3,25000,2021,continued,100,Low,Successful,Low,WP Group
STUD_64,28,Female,Widowed,Journalism,Online,Rural,None,79059,Unemployed,4,7,1,8,4,1,5,3,25000,2021,continued,100,high,Successful,Low,WP Group
STUD_65,21,Male,Single,Nursing,In-person,Rural,Master,31052,Part-time,8,8,5,2,1,0,5,3,25000,2021,withdrew,40,Low,At Risk,High,WP Group
STUD_66,18,Other,Married,Agronomy,In-person,Rural,High School,106081,Unemployed,1,2,2,5,6,1,5,3,25000,2021,continued,100,high,Successful,Low,WP Group
STUD_67,20,Female,Widowed,Agronomy,Referral,Suburban,High School,115978,Part-time,8,6,0,0,3,0,5,3,25000,2021,withdrew,0,Medium,At Risk,High,WP Group
STUD_69,29,Male,Single,Agronomy,Referral,Urban,None,58492,Part-time,6,6,7,6,1,0,5,3,25000,2021,withdrew,86,Low,Successful,High,WP Group
STUD_70,26,Female,Single,Agronomy,Online,Rural,PhD,80648,Unemployed,7,7,8,2,,0,5,3,25000,2021,withdrew,25,Low,At Risk,High,WP Group
STUD_71,19,Other,Divorced,Nursing,Online,Urban,High School,118657,Employed,5,3,4,8,2,0,5,3,25000,2021,withdrew,100,Low,Successful,High,WP Group
STUD_72,20,Male,Married,Agronomy,Referral,Urban,Bachelor,88126,Employed,8,7,4,2,4,0,5,3,25000,2021,withdrew,50,high,At Risk,High,Non-WP Group
STUD_73,24,Male,Divorced,Journalism,In-person,Urban,Master,79275,Unemployed,2,3,5,0,3,0,5,3,25000,2021,withdrew,0,Medium,At Risk,High,Non-WP Group
STUD_74,29,Other,Married,Technologies,In-person,Suburban,High School,71378,Part-time,8,1,4,2,2,1,5,3,25000,2021,continued,50,Low,At Risk,Medium,WP Group
STUD_75,18,Female,Married,Education,Referral,Suburban,PhD,103523,Unemployed,6,7,7,5,1,1,5,3,25000,2021,continued,71,Low,At Risk,Medium,Non-WP Group
STUD_76,26,Female,Married,Management,Online,Urban,Bachelor,103131,Employed,1,6,6,1,3,1,5,3,25000,2021,continued,17,Medium,At Risk,Medium,Non-WP Group
STUD_77,27,Female,Married,Education,Referral,Rural,None,49424,Employed,6,0,6,8,2,1,5,3,25000,2021,continued,100,Low,Successful,Low,WP Group
STUD_78,30,Male,Single,Agronomy,Referral,Suburban,None,62434,Unemployed,2,6,8,1,4,0,5,3,25000,2021,withdrew,13,high,At Risk,High,WP Group
STUD_79,20,Other,Divorced,Journalism,Referral,Urban,High School,56862,Unemployed,6,4,1,7,0,1,5,3,25000,2021,continued,100,Low,Successful,Low,WP Group
STUD_80,25,Male,Widowed,Management,Referral,Suburban,None,108634,Unemployed,5,6,0,5,1,0,5,3,25000,2021,withdrew,0,Low,At Risk,High,WP Group
STUD_81,30,Female,Married,Journalism,Referral,Suburban,PhD,67658,Unemployed,4,8,6,1,3,0,5,3,25000,2021,withdrew,17,Medium,At Risk,High,Non-WP Group
STUD_82,25,Male,Divorced,Technologies,Referral,Rural,High School,57459,Part-time,4,7,1,6,2,0,5,3,25000,2021,withdrew,100,Low,Successful,High,WP Group
STUD_83,21,Female,Married,Nursing,Online,Urban,High School,91187,Part-time,3,6,2,4,1,0,5,3,25000,2021,withdrew,100,Low,Successful,High,WP Group
STUD_84,19,Other,Single,Journalism,Referral,Rural,Master,106014,Part-time,1,3,2,4,,0,5,3,25000,2021,withdrew,100,Low,Successful,High,WP Group
STUD_85,18,Female,Married,Education,Online,Rural,Bachelor,118573,Part-time,5,7,7,6,0,1,5,3,25000,2021,continued,86,Low,Successful,Low,WP Group
STUD_86,27,Other,Single,Design,Online,Suburban,High School,95091,Unemployed,2,8,3,3,4,0,5,3,25000,2021,withdrew,100,high,Successful,High,WP Group
STUD_87,27,Other,Married,Nursing,In-person,Rural,Master,36395,Part-time,1,1,5,2,4,0,5,3,25000,2021,withdrew,40,high,At Risk,High,WP Group
STUD_88,26,Other,Married,Journalism,Referral,Rural,None,70732,Unemployed,4,8,7,6,3,0,5,3,25000,2021,withdrew,86,Medium,Successful,High,WP Group
STUD_89,27,Other,Single,Social Service,Referral,Rural,Bachelor,68819,Unemployed,2,6,4,3,2,0,5,3,25000,2021,withdrew,75,Low,Successful,High,WP Group
STUD_90,30,Other,Married,Journalism,In-person,Suburban,High School,78262,Unemployed,1,5,3,1,1,0,5,3,25000,2021,withdrew,33,Low,At Risk,High,WP Group
STUD_91,27,Female,Divorced,Journalism,Referral,Urban,High School,72365,Employed,7,3,5,4,3,1,5,3,25000,2021,continued,80,Medium,Successful,Low,WP Group
STUD_92,18,Male,Single,Journalism,Online,Urban,High School,54911,Part-time,5,8,8,8,2,0,5,3,25000,2021,withdrew,100,Low,Successful,High,WP Group
STUD_93,22,Male,Divorced,Journalism,Online,Urban,High School,62454,Part-time,2,6,3,0,1,1,5,3,25000,2021,continued,0,Low,At Risk,Medium,WP Group
STUD_94,23,Female,Widowed,Journalism,Online,Rural,None,47329,Unemployed,4,0,8,5,1,1,5,3,25000,2021,continued,63,Low,At Risk,Medium,WP Group
STUD_95,28,Other,Single,Nursing,In-person,Rural,Master,28896,Unemployed,4,6,0,2,2,0,5,3,25000,2021,withdrew,0,Low,At Risk,High,WP Group
STUD_96,29,Female,Widowed,Journalism,In-person,Urban,Bachelor,34092,Unemployed,2,2,2,3,0,1,5,3,25000,2021,continued,100,Low,Successful,Low,Non-WP Group
STUD_97,20,Other,Single,Social Service,Online,Suburban,Bachelor,42215,Employed,6,4,1,3,0,0,5,3,25000,2021,withdrew,100,Low,Successful,High,Non-WP Group
STUD_98,18,Other,Married,Nursing,Referral,Urban,Master,101539,Unemployed,5,4,6,4,2,0,5,3,25000,2021,withdrew,67,Low,At Risk,High,Non-WP Group
STUD_99,25,Other,Widowed,Journalism,Referral,Rural,Master,101476,Employed,2,1,4,4,1,0,5,3,25000,2021,withdrew,100,Low,Successful,High,WP Group
STUD_100,28,Other,Single,Technologies,In-person,Suburban,None,51232,Employed,7,1,2,6,3,0,5,3,25000,2021,withdrew,100,Medium,Successful,High,WP Group
STUD_101,23,Female,Widowed,Education,Referral,Suburban,PhD,63049,Unemployed,7,5,1,8,1,0,5,3,25000,2021,withdrew,100,Low,Successful,High,Non-WP Group
STUD_102,22,Female,Single,Technologies,In-person,Urban,None,87864,Unemployed,2,2,4,5,3,1,5,3,25000,2021,continued,100,Medium,Successful,Low,WP Group
STUD_103,23,Other,Single,Management,In-person,Suburban,None,105228,Unemployed,1,4,6,7,3,0,5,3,25000,2021,withdrew,100,Medium,Successful,High,WP Group
STUD_104,27,Female,Single,Education,Online,Rural,None,93915,Unemployed,7,0,6,3,1,1,5,3,25000,2021,continued,50,Low,At Risk,Medium,WP Group
STUD_105,22,Female,Divorced,Agronomy,Online,Suburban,Master,117163,Part-time,1,2,4,8,4,1,5,3,25000,2021,continued,100,high,Successful,Low,WP Group
STUD_107,27,Female,Married,Design,Referral,Suburban,PhD,98331,Unemployed,3,6,4,2,1,0,5,3,25000,2021,withdrew,50,Low,At Risk,High,Non-WP Group
STUD_108,28,Female,Single,Design,Online,Urban,Bachelor,83142,Part-time,7,8,1,5,2,0,5,3,25000,2021,withdrew,100,Low,Successful,High,WP Group
STUD_109,18,Other,Single,Design,In-person,Suburban,Master,61431,Unemployed,3,7,7,3,2,0,5,3,25000,2021,withdrew,43,Low,At Risk,High,Non-WP Group
STUD_110,25,Other,Single,Social Service,In-person,Suburban,None,91793,Employed,0,3,3,5,5,0,5,3,25000,2021,withdrew,100,high,Successful,High,WP Group
STUD_111,25,Male,Widowed,Technologies,Online,Urban,Master,47811,Employed,5,3,0,4,3,0,5,3,25000,2021,withdrew,0,Medium,At Risk,High,Non-WP Group
STUD_113,25,Other,Married,Social Service,In-person,Suburban,Bachelor,70681,Employed,7,8,6,2,3,0,5,3,25000,2021,withdrew,33,Medium,At Risk,High,Non-WP Group
STUD_114,26,Male,Divorced,Management,Referral,Urban,Master,102656,Unemployed,8,7,0,6,2,1,5,3,25000,2021,continued,0,Low,At Risk,Medium,Non-WP Group
STUD_115,26,Other,Widowed,Social Service,In-person,Urban,None,50362,Employed,5,1,4,8,2,1,5,3,25000,2021,continued,100,Low,Successful,Low,WP Group
STUD_116,24,Female,Single,Education,Referral,Urban,PhD,101410,Part-time,8,2,8,2,3,1,5,3,25000,2021,continued,25,Medium,At Risk,Medium,WP Group
STUD_117,20,Other,Single,Education,In-person,Rural,PhD,31260,Part-time,8,0,5,4,3,1,5,3,25000,2021,continued,80,Medium,Successful,Low,WP Group
STUD_118,25,Female,Divorced,Design,Referral,Rural,Master,76272,Part-time,4,6,5,6,4,0,5,3,25000,2021,withdrew,100,high,Successful,High,WP Group
STUD_119,21,Female,Single,Technologies,In-person,Suburban,High School,37236,Part-time,1,1,1,2,1,1,5,3,25000,2021,continued,100,Low,Successful,Low,WP Group
STUD_120,29,Other,Widowed,Design,Referral,Rural,None,69938,Part-time,3,0,6,7,2,0,5,3,25000,2021,withdrew,100,Low,Successful,High,WP Group
STUD_121,22,Female,Married,Education,Online,Suburban,None,49092,Part-time,3,6,2,2,2,1,5,3,25000,2021,continued,100,Low,Successful,Low,WP Group
STUD_122,23,Male,Single,Nursing,Referral,Suburban,PhD,78472,Employed,8,2,1,8,3,1,5,3,25000,2021,continued,100,Medium,Successful,Low,Non-WP Group
STUD_123,26,Other,Married,Nursing,In-person,Suburban,Bachelor,43571,Unemployed,8,7,2,2,1,0,5,3,25000,2021,withdrew,100,Low,Successful,High,Non-WP Group
STUD_124,29,Female,Widowed,Nursing,Referral,Urban,None,117861,Employed,7,2,4,6,3,0,5,3,25000,2021,withdrew,100,Medium,Successful,High,WP Group
STUD_125,23,Female,Married,Agronomy,In-person,Suburban,None,69334,Unemployed,6,4,6,0,3,0,5,3,25000,2021,withdrew,0,Medium,At Risk,High,WP Group
STUD_126,30,Female,Divorced,Journalism,In-person,Suburban,PhD,42416,Unemployed,8,6,8,4,4,0,5,3,25000,2021,withdrew,50,high,At Risk,High,Non-WP Group
STUD_127,23,Male,Single,Technologies,In-person,Suburban,High School,117251,Part-time,2,2,1,1,2,1,5,3,25000,2021,continued,100,Low,Successful,Low,WP Group
STUD_128,24,Male,Divorced,Education,Online,Rural,High School,72928,Employed,8,7,7,0,1,1,5,3,25000,2021,continued,0,Low,At Risk,Medium,WP Group
STUD_129,29,Female,Divorced,Technologies,Referral,Rural,None,36990,Unemployed,4,5,3,1,3,1,5,3,25000,2021,continued,33,Medium,At Risk,Medium,WP Group
STUD_130,19,Male,Married,Technologies,Referral,Urban,Master,83845,Part-time,7,6,7,4,3,0,5,3,25000,2021,withdrew,57,Medium,At Risk,High,WP Group
STUD_131,21,Other,Widowed,Education,Online,Rural,Master,93556,Part-time,7,2,1,5,3,1,5,3,25000,2021,continued,100,Medium,Successful,Low,WP Group
STUD_132,22,Female,Widowed,Journalism,In-person,Suburban,Bachelor,21665,Employed,3,4,6,7,4,0,5,3,25000,2021,withdrew,100,high,Successful,High,Non-WP Group
STUD_133,25,Male,Divorced,Education,In-person,Urban,Bachelor,72067,Part-time,7,4,7,4,1,1,5,3,25000,2021,continued,57,Low,At Risk,Medium,WP Group
STUD_134,21,Other,Divorced,Management,Referral,Urban,None,47648,Part-time,5,2,7,4,0,1,5,3,25000,2021,continued,57,Low,At Risk,Medium,WP Group
STUD_135,20,Female,Married,Journalism,Online,Rural,PhD,23953,Unemployed,6,1,4,4,2,0,5,3,25000,2021,withdrew,100,Low,Successful,High,WP Group
STUD_136,24,Other,Widowed,Agronomy,In-person,Urban,Master,61026,Employed,4,0,7,0,2,1,5,3,25000,2021,continued,0,Low,At Risk,Medium,Non-WP Group
STUD_137,18,Female,Widowed,Agronomy,Referral,Urban,PhD,35401,Part-time,4,5,4,7,4,1,5,3,25000,2021,continued,100,high,Successful,Low,WP Group
STUD_138,30,Other,Married,Journalism,Online,Rural,Bachelor,89679,Unemployed,6,0,2,7,0,1,5,3,25000,2021,continued,100,Low,Successful,Low,WP Group
STUD_139,29,Female,Married,Social Service,Referral,Rural,High School,107988,Unemployed,8,8,0,4,1,0,5,3,25000,2021,withdrew,0,Low,At Risk,High,WP Group
STUD_140,28,Female,Single,Technologies,Online,Urban,None,79218,Unemployed,1,7,7,8,2,1,5,3,25000,2021,continued,100,Low,Successful,Low,WP Group
STUD_141,25,Other,Single,Education,In-person,Rural,Bachelor,104316,Employed,5,8,5,8,,1,5,3,25000,2021,continued,100,Low,Successful,Low,WP Group
STUD_142,19,Male,Married,Nursing,Referral,Rural,None,25910,Employed,1,5,4,8,5,0,5,3,25000,2021,withdrew,100,high,Successful,High,WP Group
STUD_143,25,Other,Single,Technologies,In-person,Urban,None,74723,Unemployed,8,2,8,6,1,1,5,3,25000,2021,continued,75,Low,Successful,Low,WP Group
STUD_144,26,Female,Widowed,Nursing,Online,Urban,Master,115986,Employed,1,7,2,3,2,0,5,3,25000,2021,withdrew,100,Low,Successful,High,Non-WP Group
STUD_146,22,Male,Widowed,Education,In-person,Suburban,None,115221,Part-time,1,2,1,4,3,0,5,3,25000,2021,withdrew,100,Medium,Successful,High,WP Group
STUD_147,18,Other,Divorced,Design,Online,Rural,Bachelor,117620,Unemployed,5,3,6,2,1,1,5,3,25000,2021,continued,33,Low,At Risk,Medium,WP Group
STUD_148,29,Male,Widowed,Journalism,Online,Rural,High School,46138,Unemployed,7,8,6,6,4,1,5,3,25000,2021,continued,100,high,Successful,Low,WP Group
STUD_149,21,Male,Widowed,Nursing,In-person,Rural,PhD,47267,Employed,4,1,7,5,2,0,5,3,25000,2021,withdrew,71,Low,At Risk,High,WP Group
STUD_150,25,Male,Widowed,Management,Online,Suburban,PhD,75857,Unemployed,2,4,6,1,1,1,5,3,25000,2021,continued,17,Low,At Risk,Medium,Non-WP Group
STUD_151,29,Male,Married,Nursing,Referral,Rural,Master,59828,Part-time,1,2,6,6,5,0,5,3,25000,2021,withdrew,100,high,Successful,High,WP Group
STUD_152,22,Male,Married,Management,In-person,Urban,High School,112716,Employed,6,7,1,7,1,1,5,3,25000,2021,continued,100,Low,Successful,Low,WP Group
STUD_153,24,Other,Married,Social Service,In-person,Suburban,Bachelor,92461,Unemployed,3,0,5,8,2,1,5,3,25000,2021,continued,100,Low,Successful,Low,Non-WP Group
STUD_154,22,Other,Single,Education,Online,Suburban,Master,71565,Unemployed,6,2,1,3,2,1,5,3,25000,2021,continued,100,Low,Successful,Low,Non-WP Group
STUD_155,28,Female,Single,Journalism,Referral,Suburban,None,69143,Employed,1,6,5,7,1,0,5,3,25000,2021,withdrew,100,Low,Successful,High,WP Group
STUD_156,24,Male,Married,Agronomy,In-person,Suburban,PhD,102241,Part-time,1,1,3,2,1,1,5,3,25000,2021,continued,67,Low,At Risk,Medium,WP Group
STUD_157,30,Other,Divorced,Design,Online,Rural,PhD,118741,Part-time,1,2,0,4,5,0,5,3,25000,2021,withdrew,0,high,At Risk,High,WP Group
STUD_158,19,Male,Married,Social Service,In-person,Urban,PhD,98993,Unemployed,1,3,5,1,,1,5,3,25000,2021,continued,20,Low,At Risk,Medium,Non-WP Group
STUD_160,27,Female,Widowed,Agronomy,In-person,Urban,Bachelor,64534,Unemployed,7,0,6,5,1,1,5,3,25000,2021,continued,83,Low,Successful,Low,Non-WP Group
STUD_161,19,Male,Divorced,Design,Referral,Rural,PhD,47888,Employed,5,4,2,4,3,0,5,3,25000,2021,withdrew,100,Medium,Successful,High,WP Group
STUD_162,30,Male,Divorced,Management,Referral,Suburban,Bachelor,32482,Part-time,1,8,6,8,6,1,5,3,25000,2021,continued,100,high,Successful,Low,WP Group
STUD_164,28,Female,Widowed,Management,Referral,Urban,Bachelor,48756,Part-time,5,8,3,4,1,0,5,3,25000,2021,withdrew,100,Low,Successful,High,WP Group
STUD_165,26,Other,Divorced,Agronomy,Referral,Urban,PhD,100999,Employed,6,3,5,4,0,1,5,3,25000,2021,continued,80,Low,Successful,Low,Non-WP Group
STUD_166,21,Male,Divorced,Management,In-person,Rural,Bachelor,43206,Employed,1,0,0,6,5,0,5,3,25000,2021,withdrew,0,high,At Risk,High,WP Group
STUD_167,21,Other,Divorced,Management,In-person,Urban,None,115205,Part-time,6,2,4,3,2,0,5,3,25000,2021,withdrew,75,Low,Successful,High,WP Group
STUD_168,20,Male,Single,Technologies,Referral,Rural,Master,31848,Unemployed,6,8,8,5,3,1,5,3,25000,2021,continued,63,Medium,At Risk,Medium,WP Group
STUD_169,21,Other,Divorced,Nursing,Referral,Suburban,Bachelor,110360,Part-time,3,5,7,5,0,1,5,3,25000,2021,continued,71,Low,At Risk,Medium,WP Group
STUD_170,27,Male,Widowed,Journalism,Referral,Suburban,Bachelor,97341,Employed,8,0,6,8,1,0,5,3,25000,2021,withdrew,100,Low,Successful,High,Non-WP Group
STUD_171,18,Female,Divorced,Nursing,Online,Rural,Bachelor,29227,Employed,2,1,4,1,4,1,5,3,25000,2021,continued,25,high,At Risk,Medium,WP Group
STUD_172,20,Other,Married,Journalism,Online,Urban,None,119083,Employed,7,2,1,7,2,0,5,3,25000,2021,withdrew,100,Low,Successful,High,WP Group
STUD_173,23,Male,Single,Management,In-person,Urban,Master,49650,Part-time,5,1,2,7,1,1,5,3,25000,2021,continued,100,Low,Successful,Low,WP Group
STUD_175,30,Other,Married,Social Service,In-person,Rural,PhD,76526,Part-time,7,4,3,8,3,0,5,3,25000,2021,withdrew,100,Medium,Successful,High,WP Group
STUD_177,20,Female,Divorced,Journalism,Online,Rural,High School,43557,Unemployed,7,1,1,7,0,1,5,3,25000,2021,continued,100,Low,Successful,Low,WP Group
STUD_178,18,Male,Widowed,Agronomy,Referral,Rural,Bachelor,46972,Unemployed,4,7,2,2,2,1,5,3,25000,2021,continued,100,Low,Successful,Low,WP Group
STUD_179,29,Female,Widowed,Social Service,Online,Rural,None,42594,Employed,5,5,3,2,3,0,5,3,25000,2021,withdrew,67,Medium,At Risk,High,WP Group
STUD_180,23,Male,Single,Management,In-person,Suburban,PhD,78655,Employed,1,0,7,0,3,0,5,3,25000,2021,withdrew,0,Medium,At Risk,High,Non-WP Group
