Student_ID,Age,Gender,Marital_Status,Course_Chosen,Application_Mode,Residence_Location,Parental_Education,Employment_Status,Semester_Enrolled_Units,Semester_Credited_Units,Semester_Evaluated_Units,Semester_Approved_Units,Semester_Average_Grade,Retention,Unemployment_Rate,Inflation_Rate,Regional_GDP,Year
STUD_31,22,Female,Single,Nursing,Online,Suburban,High School,Part-time,4,1,1,0,3.37,0,5,2.5,25000,2021
STUD_32,24,Female,Divorced,Design,Referral,Rural,High School,Unemployed,6,4,2,1,2.48,0,5,2.5,25000,2021
STUD_33,23,Male,Single,Education,Referral,Rural,None,Part-time,5,3,0,1,2.15,0,5,2.5,25000,2021
STUD_34,25,Female,Single,Journalism,Referral,Rural,None,Part-time,1,3,6,5,1.14,0,5,2.5,25000,2021
STUD_35,21,Male,Married,Journalism,Referral,Rural,High School,Part-time,5,3,2,7,1.26,1,5,2.5,25000,2021
STUD_36,27,Male,Divorced,Nursing,Online,Suburban,Bachelor,Employed,2,8,2,0,0.54,1,5,2.5,25000,2021
STUD_37,29,Male,Widowed,Technologies,In-person,Suburban,None,Part-time,1,1,3,5,1.42,0,5,2.5,25000,2021
STUD_38,21,Male,Widowed,Nursing,Online,Rural,PhD,Employed,8,4,0,4,0.8,0,5,2.5,25000,2021
STUD_39,28,Male,Widowed,Journalism,Referral,Suburban,None,Unemployed,4,8,4,6,0.28,1,5,2.5,25000,2021
STUD_43,19,Female,Married,Management,In-person,Urban,None,Employed,1,1,1,6,5.111311858,1,5,2.5,25000,2021
STUD_44,23,Male,Widowed,Nursing,Referral,Rural,Master,Employed,8,5,8,4,1.95,1,5,2.5,25000,2021
STUD_45,28,Female,Divorced,Education,Referral,Urban,Master,Employed,3,4,1,6,2.41,0,5,2.5,25000,2021
STUD_46,19,Other,Single,Agronomy,In-person,Rural,Bachelor,Employed,4,5,3,7,2.85,1,5,2.5,25000,2021
STUD_47,28,Male,Divorced,Social Service,Referral,Urban,PhD,Employed,7,3,4,5,,0,5,2.5,25000,2021
STUD_48,30,Male,Single,Nursing,Referral,Urban,None,Unemployed,2,6,0,2,2.37,1,5,2.5,25000,2021
STUD_49,18,Other,Married,Design,Online,Rural,Bachelor,Employed,6,4,8,7,3.42,0,5,2.5,25000,2021
STUD_50,30,Male,Married,Education,In-person,Urban,PhD,Part-time,1,3,3,0,3.66,0,5,2.5,25000,2021
STUD_51,23,Other,Widowed,Education,In-person,Suburban,High School,Part-time,2,5,6,0,3.38,1,5,2.5,25000,2021
STUD_52,28,Other,Married,Journalism,In-person,Rural,None,Unemployed,3,2,6,5,3.12,1,5,2.5,25000,2021
STUD_53,24,Male,Married,Social Service,Referral,Suburban,High School,Employed,6,0,4,1,3.7,1,5,2.5,25000,2021
STUD_54,20,Male,Single,Agronomy,Referral,Suburban,Bachelor,Employed,3,5,7,0,2.38,0,5,2.5,25000,2021
STUD_55,25,Male,Married,Journalism,In-person,Suburban,None,Employed,3,8,4,2,0.05,1,5,2.5,25000,2021
STUD_56,30,Other,Married,Management,In-person,Urban,Master,Unemployed,4,0,6,0,0.37,1,5,2.5,25000,2021
STUD_57,18,Male,Single,Agronomy,Referral,Suburban,PhD,Part-time,6,8,0,6,1.86,1,5,2.5,25000,2021
STUD_58,19,Other,Divorced,Social Service,Referral,Rural,Bachelor,Part-time,6,2,4,6,0.82,1,5,2.5,25000,2021
STUD_60,20,Other,Widowed,Design,Referral,Urban,High School,Employed,4,4,1,3,2.02,1,5,2.5,25000,2021
STUD_61,19,Male,Single,Education,Referral,Suburban,None,Unemployed,4,6,1,0,3.57,0,5,2.5,25000,2021
STUD_63,22,Other,Widowed,Education,Online,Urban,Bachelor,Part-time,1,3,3,7,0.81,1,5,2.5,25000,2021
STUD_64,28,Female,Widowed,Journalism,Online,Rural,None,Unemployed,4,7,1,8,3.5,1,5,2.5,25000,2021
STUD_65,21,Male,Single,Nursing,In-person,Rural,Master,Part-time,8,8,5,2,0.73,0,5,2.5,25000,2021
STUD_66,18,Other,Married,Agronomy,In-person,Rural,High School,Unemployed,1,2,2,5,5.802279567,1,5,2.5,25000,2021
STUD_67,20,Female,Widowed,Agronomy,Referral,Suburban,High School,Part-time,8,6,0,0,3.35,0,5,2.5,25000,2021
STUD_69,29,Male,Single,Agronomy,Referral,Urban,None,Part-time,6,6,7,6,0.64,0,5,2.5,25000,2021
STUD_70,26,Female,Single,Agronomy,Online,Rural,PhD,Unemployed,7,7,8,2,,0,5,2.5,25000,2021
STUD_71,19,Other,Divorced,Nursing,Online,Urban,High School,Employed,5,3,4,8,2.39,0,5,2.5,25000,2021
STUD_72,20,Male,Married,Agronomy,Referral,Urban,Bachelor,Employed,8,7,4,2,3.6,0,5,2.5,25000,2021
STUD_73,24,Male,Divorced,Journalism,In-person,Urban,Master,Unemployed,2,3,5,0,2.5,0,5,2.5,25000,2021
STUD_74,29,Other,Married,Technologies,In-person,Suburban,High School,Part-time,8,1,4,2,2.19,1,5,2.5,25000,2021
STUD_75,18,Female,Married,Education,Referral,Suburban,PhD,Unemployed,6,7,7,5,0.62,1,5,2.5,25000,2021
STUD_76,26,Female,Married,Management,Online,Urban,Bachelor,Employed,1,6,6,1,3.29,1,5,2.5,25000,2021
STUD_77,27,Female,Married,Education,Referral,Rural,None,Employed,6,0,6,8,2.43,1,5,2.5,25000,2021
STUD_78,30,Male,Single,Agronomy,Referral,Suburban,None,Unemployed,2,6,8,1,3.77,0,5,2.5,25000,2021
STUD_79,20,Other,Divorced,Journalism,Referral,Urban,High School,Unemployed,6,4,1,7,0.33,1,5,2.5,25000,2021
STUD_80,25,Male,Widowed,Management,Referral,Suburban,None,Unemployed,5,6,0,5,0.85,0,5,2.5,25000,2021
STUD_81,30,Female,Married,Journalism,Referral,Suburban,PhD,Unemployed,4,8,6,1,2.75,0,5,2.5,25000,2021
STUD_82,25,Male,Divorced,Technologies,Referral,Rural,High School,Part-time,4,7,1,6,1.65,0,5,2.5,25000,2021
STUD_83,21,Female,Married,Nursing,Online,Urban,High School,Part-time,3,6,2,4,1.09,0,5,2.5,25000,2021
STUD_84,19,Other,Single,Journalism,Referral,Rural,Master,Part-time,1,3,2,4,,0,5,2.5,25000,2021
STUD_85,18,Female,Married,Education,Online,Rural,Bachelor,Part-time,5,7,7,6,0.26,1,5,2.5,25000,2021
STUD_86,27,Other,Single,Design,Online,Suburban,High School,Unemployed,2,8,3,3,3.77,0,5,2.5,25000,2021
STUD_87,27,Other,Married,Nursing,In-person,Rural,Master,Part-time,1,1,5,2,3.57,0,5,2.5,25000,2021
STUD_88,26,Other,Married,Journalism,Referral,Rural,None,Unemployed,4,8,7,6,3.49,0,5,2.5,25000,2021
STUD_89,27,Other,Single,Social Service,Referral,Rural,Bachelor,Unemployed,2,6,4,3,1.71,0,5,2.5,25000,2021
STUD_90,30,Other,Married,Journalism,In-person,Suburban,High School,Unemployed,1,5,3,1,1.11,0,5,2.5,25000,2021
STUD_91,27,Female,Divorced,Journalism,Referral,Urban,High School,Employed,7,3,5,4,3.27,1,5,2.5,25000,2021
STUD_92,18,Male,Single,Journalism,Online,Urban,High School,Part-time,5,8,8,8,1.6,0,5,2.5,25000,2021
STUD_93,22,Male,Divorced,Journalism,Online,Urban,High School,Part-time,2,6,3,0,0.8,1,5,2.5,25000,2021
STUD_94,23,Female,Widowed,Journalism,Online,Rural,None,Unemployed,4,0,8,5,0.58,1,5,2.5,25000,2021
STUD_95,28,Other,Single,Nursing,In-person,Rural,Master,Unemployed,4,6,0,2,1.99,0,5,2.5,25000,2021
STUD_96,29,Female,Widowed,Journalism,In-person,Urban,Bachelor,Unemployed,2,2,2,3,0.08,1,5,2.5,25000,2021
STUD_97,20,Other,Single,Social Service,Online,Suburban,Bachelor,Employed,6,4,1,3,0.21,0,5,2.5,25000,2021
STUD_98,18,Other,Married,Nursing,Referral,Urban,Master,Unemployed,5,4,6,4,1.82,0,5,2.5,25000,2021
STUD_99,25,Other,Widowed,Journalism,Referral,Rural,Master,Employed,2,1,4,4,1.12,0,5,2.5,25000,2021
STUD_100,28,Other,Single,Technologies,In-person,Suburban,None,Employed,7,1,2,6,3.31,0,5,2.5,25000,2021
STUD_101,23,Female,Widowed,Education,Referral,Suburban,PhD,Unemployed,7,5,1,8,1.35,0,5,2.5,25000,2021
STUD_102,22,Female,Single,Technologies,In-person,Urban,None,Unemployed,2,2,4,5,3.28,1,5,2.5,25000,2021
STUD_103,23,Other,Single,Management,In-person,Suburban,None,Unemployed,1,4,6,7,2.5,0,5,2.5,25000,2021
STUD_104,27,Female,Single,Education,Online,Rural,None,Unemployed,7,0,6,3,1.34,1,5,2.5,25000,2021
STUD_105,22,Female,Divorced,Agronomy,Online,Suburban,Master,Part-time,1,2,4,8,3.97,1,5,2.5,25000,2021
STUD_107,27,Female,Married,Design,Referral,Suburban,PhD,Unemployed,3,6,4,2,1.29,0,5,2.5,25000,2021
STUD_108,28,Female,Single,Design,Online,Urban,Bachelor,Part-time,7,8,1,5,1.76,0,5,2.5,25000,2021
STUD_109,18,Other,Single,Design,In-person,Suburban,Master,Unemployed,3,7,7,3,2.19,0,5,2.5,25000,2021
STUD_110,25,Other,Single,Social Service,In-person,Suburban,None,Employed,0,3,3,5,4.856597008,0,5,2.5,25000,2021
STUD_111,25,Male,Widowed,Technologies,Online,Urban,Master,Employed,5,3,0,4,3.12,0,5,2.5,25000,2021
STUD_113,25,Other,Married,Social Service,In-person,Suburban,Bachelor,Employed,7,8,6,2,2.95,0,5,2.5,25000,2021
STUD_114,26,Male,Divorced,Management,Referral,Urban,Master,Unemployed,8,7,0,6,1.62,1,5,2.5,25000,2021
STUD_115,26,Other,Widowed,Social Service,In-person,Urban,None,Employed,5,1,4,8,2.24,1,5,2.5,25000,2021
STUD_116,24,Female,Single,Education,Referral,Urban,PhD,Part-time,8,2,8,2,3.15,1,5,2.5,25000,2021
STUD_117,20,Other,Single,Education,In-person,Rural,PhD,Part-time,8,0,5,4,3.36,1,5,2.5,25000,2021
STUD_118,25,Female,Divorced,Design,Referral,Rural,Master,Part-time,4,6,5,6,3.63,0,5,2.5,25000,2021
STUD_119,21,Female,Single,Technologies,In-person,Suburban,High School,Part-time,1,1,1,2,1.36,1,5,2.5,25000,2021
STUD_120,29,Other,Widowed,Design,Referral,Rural,None,Part-time,3,0,6,7,2.27,0,5,2.5,25000,2021
STUD_121,22,Female,Married,Education,Online,Suburban,None,Part-time,3,6,2,2,1.5,1,5,2.5,25000,2021
STUD_122,23,Male,Single,Nursing,Referral,Suburban,PhD,Employed,8,2,1,8,2.66,1,5,2.5,25000,2021
STUD_123,26,Other,Married,Nursing,In-person,Suburban,Bachelor,Unemployed,8,7,2,2,0.95,0,5,2.5,25000,2021
STUD_124,29,Female,Widowed,Nursing,Referral,Urban,None,Employed,7,2,4,6,2.65,0,5,2.5,25000,2021
STUD_125,23,Female,Married,Agronomy,In-person,Suburban,None,Unemployed,6,4,6,0,2.61,0,5,2.5,25000,2021
STUD_126,30,Female,Divorced,Journalism,In-person,Suburban,PhD,Unemployed,8,6,8,4,3.7,0,5,2.5,25000,2021
STUD_127,23,Male,Single,Technologies,In-person,Suburban,High School,Part-time,2,2,1,1,1.94,1,5,2.5,25000,2021
STUD_128,24,Male,Divorced,Education,Online,Rural,High School,Employed,8,7,7,0,1.13,1,5,2.5,25000,2021
STUD_129,29,Female,Divorced,Technologies,Referral,Rural,None,Unemployed,4,5,3,1,2.88,1,5,2.5,25000,2021
STUD_130,19,Male,Married,Technologies,Referral,Urban,Master,Part-time,7,6,7,4,2.84,0,5,2.5,25000,2021
STUD_131,21,Other,Widowed,Education,Online,Rural,Master,Part-time,7,2,1,5,2.61,1,5,2.5,25000,2021
STUD_132,22,Female,Widowed,Journalism,In-person,Suburban,Bachelor,Employed,3,4,6,7,3.53,0,5,2.5,25000,2021
STUD_133,25,Male,Divorced,Education,In-person,Urban,Bachelor,Part-time,7,4,7,4,1,1,5,2.5,25000,2021
STUD_134,21,Other,Divorced,Management,Referral,Urban,None,Part-time,5,2,7,4,0.32,1,5,2.5,25000,2021
STUD_135,20,Female,Married,Journalism,Online,Rural,PhD,Unemployed,6,1,4,4,1.67,0,5,2.5,25000,2021
STUD_136,24,Other,Widowed,Agronomy,In-person,Urban,Master,Employed,4,0,7,0,2.39,1,5,2.5,25000,2021
STUD_137,18,Female,Widowed,Agronomy,Referral,Urban,PhD,Part-time,4,5,4,7,3.56,1,5,2.5,25000,2021
STUD_138,30,Other,Married,Journalism,Online,Rural,Bachelor,Unemployed,6,0,2,7,0.48,1,5,2.5,25000,2021
STUD_139,29,Female,Married,Social Service,Referral,Rural,High School,Unemployed,8,8,0,4,0.61,0,5,2.5,25000,2021
STUD_140,28,Female,Single,Technologies,Online,Urban,None,Unemployed,1,7,7,8,2.02,1,5,2.5,25000,2021
STUD_141,25,Other,Single,Education,In-person,Rural,Bachelor,Employed,5,8,5,8,,1,5,2.5,25000,2021
STUD_142,19,Male,Married,Nursing,Referral,Rural,None,Employed,1,5,4,8,5.468586623,0,5,2.5,25000,2021
STUD_143,25,Other,Single,Technologies,In-person,Urban,None,Unemployed,8,2,8,6,0.5,1,5,2.5,25000,2021
STUD_144,26,Female,Widowed,Nursing,Online,Urban,Master,Employed,1,7,2,3,2.19,0,5,2.5,25000,2021
STUD_146,22,Male,Widowed,Education,In-person,Suburban,None,Part-time,1,2,1,4,2.83,0,5,2.5,25000,2021
STUD_147,18,Other,Divorced,Design,Online,Rural,Bachelor,Unemployed,5,3,6,2,0.66,1,5,2.5,25000,2021
STUD_148,29,Male,Widowed,Journalism,Online,Rural,High School,Unemployed,7,8,6,6,3.97,1,5,2.5,25000,2021
STUD_149,21,Male,Widowed,Nursing,In-person,Rural,PhD,Employed,4,1,7,5,1.6,0,5,2.5,25000,2021
STUD_150,25,Male,Widowed,Management,Online,Suburban,PhD,Unemployed,2,4,6,1,0.55,1,5,2.5,25000,2021
STUD_151,29,Male,Married,Nursing,Referral,Rural,Master,Part-time,1,2,6,6,5.180011622,0,5,2.5,25000,2021
STUD_152,22,Male,Married,Management,In-person,Urban,High School,Employed,6,7,1,7,1.08,1,5,2.5,25000,2021
STUD_153,24,Other,Married,Social Service,In-person,Suburban,Bachelor,Unemployed,3,0,5,8,2.13,1,5,2.5,25000,2021
STUD_154,22,Other,Single,Education,Online,Suburban,Master,Unemployed,6,2,1,3,1.55,1,5,2.5,25000,2021
STUD_155,28,Female,Single,Journalism,Referral,Suburban,None,Employed,1,6,5,7,1.37,0,5,2.5,25000,2021
STUD_156,24,Male,Married,Agronomy,In-person,Suburban,PhD,Part-time,1,1,3,2,0.93,1,5,2.5,25000,2021
STUD_157,30,Other,Divorced,Design,Online,Rural,PhD,Part-time,1,2,0,4,5.03115097,0,5,2.5,25000,2021
STUD_158,19,Male,Married,Social Service,In-person,Urban,PhD,Unemployed,1,3,5,1,,1,5,2.5,25000,2021
STUD_160,27,Female,Widowed,Agronomy,In-person,Urban,Bachelor,Unemployed,7,0,6,5,1.33,1,5,2.5,25000,2021
STUD_161,19,Male,Divorced,Design,Referral,Rural,PhD,Employed,5,4,2,4,2.54,0,5,2.5,25000,2021
STUD_162,30,Male,Divorced,Management,Referral,Suburban,Bachelor,Part-time,1,8,6,8,5.525703202,1,5,2.5,25000,2021
STUD_164,28,Female,Widowed,Management,Referral,Urban,Bachelor,Part-time,5,8,3,4,1.43,0,5,2.5,25000,2021
STUD_165,26,Other,Divorced,Agronomy,Referral,Urban,PhD,Employed,6,3,5,4,0.1,1,5,2.5,25000,2021
STUD_166,21,Male,Divorced,Management,In-person,Rural,Bachelor,Employed,1,0,0,6,5.014787145,0,5,2.5,25000,2021
STUD_167,21,Other,Divorced,Management,In-person,Urban,None,Part-time,6,2,4,3,2.07,0,5,2.5,25000,2021
STUD_168,20,Male,Single,Technologies,Referral,Rural,Master,Unemployed,6,8,8,5,3.29,1,5,2.5,25000,2021
STUD_169,21,Other,Divorced,Nursing,Referral,Suburban,Bachelor,Part-time,3,5,7,5,0.4,1,5,2.5,25000,2021
STUD_170,27,Male,Widowed,Journalism,Referral,Suburban,Bachelor,Employed,8,0,6,8,1.15,0,5,2.5,25000,2021
STUD_171,18,Female,Divorced,Nursing,Online,Rural,Bachelor,Employed,2,1,4,1,3.99,1,5,2.5,25000,2021
STUD_172,20,Other,Married,Journalism,Online,Urban,None,Employed,7,2,1,7,1.99,0,5,2.5,25000,2021
STUD_173,23,Male,Single,Management,In-person,Urban,Master,Part-time,5,1,2,7,0.5,1,5,2.5,25000,2021
STUD_175,30,Other,Married,Social Service,In-person,Rural,PhD,Part-time,7,4,3,8,2.53,0,5,2.5,25000,2021
STUD_177,20,Female,Divorced,Journalism,Online,Rural,High School,Unemployed,7,1,1,7,0.17,1,5,2.5,25000,2021
STUD_178,18,Male,Widowed,Agronomy,Referral,Rural,Bachelor,Unemployed,4,7,2,2,1.62,1,5,2.5,25000,2021
STUD_179,29,Female,Widowed,Social Service,Online,Rural,None,Employed,5,5,3,2,3.35,0,5,2.5,25000,2021
STUD_180,23,Male,Single,Management,In-person,Suburban,PhD,Employed,1,0,7,0,2.72,0,5,2.5,25000,2021
STUD_181,29,Other,Married,Education,Online,Urban,High School,Part-time,6,8,5,2,3.63,0,5,2.5,25000,2021
STUD_182,28,Male,Married,Social Service,In-person,Urban,None,Unemployed,7,1,0,0,1.11,1,5,2.5,25000,2021
STUD_183,26,Other,Divorced,Education,In-person,Suburban,Bachelor,Part-time,8,4,7,6,2.57,1,5,2.5,25000,2021
STUD_184,22,Male,Married,Agronomy,Online,Rural,PhD,Unemployed,5,2,6,1,0.46,1,5,2.5,25000,2021
STUD_185,23,Female,Divorced,Social Service,Online,Suburban,None,Unemployed,1,4,8,7,5.437596177,1,5,2.5,25000,2021
STUD_186,22,Female,Single,Education,Online,Suburban,Bachelor,Unemployed,8,4,7,0,2.75,0,5,2.5,25000,2021
STUD_187,25,Other,Divorced,Technologies,In-person,Rural,High School,Part-time,2,1,5,8,3.4,0,5,2.5,25000,2021
STUD_189,30,Other,Married,Education,Online,Suburban,Master,Employed,4,2,3,2,0.65,0,5,2.5,25000,2021
STUD_190,23,Male,Single,Education,Referral,Urban,PhD,Employed,6,5,0,2,2.47,0,5,2.5,25000,2021
STUD_191,20,Male,Married,Education,Online,Suburban,High School,Employed,5,3,5,1,3.97,0,5,2.5,25000,2021
STUD_192,26,Other,Divorced,Technologies,In-person,Suburban,Bachelor,Unemployed,4,4,4,7,,0,5,2.5,25000,2021
STUD_193,25,Male,Single,Social Service,Online,Rural,High School,Employed,1,0,0,2,1.21,0,5,2.5,25000,2021
STUD_194,20,Other,Widowed,Technologies,In-person,Suburban,None,Employed,7,5,4,1,3,1,5,2.5,25000,2021
STUD_195,25,Other,Divorced,Agronomy,Referral,Rural,None,Unemployed,7,0,1,3,2.92,1,5,2.5,25000,2021
STUD_196,27,Female,Single,Social Service,Referral,Urban,Master,Unemployed,1,4,1,5,2.05,0,5,2.5,25000,2021
STUD_197,25,Male,Widowed,Nursing,In-person,Rural,High School,Employed,1,0,3,1,2.14,0,5,2.5,25000,2021
STUD_198,21,Other,Married,Nursing,Referral,Urban,PhD,Employed,5,1,1,2,2.01,0,5,2.5,25000,2021
STUD_199,18,Male,Divorced,Technologies,In-person,Urban,PhD,Unemployed,4,4,8,0,0.55,1,5,2.5,25000,2021
STUD_200,24,Male,Widowed,Nursing,Referral,Suburban,PhD,Part-time,8,5,8,4,3.25,1,5,2.5,25000,2021
STUD_201,20,Female,Married,Nursing,Online,Rural,Bachelor,Part-time,5,1,2,4,3.65,1,5,2.5,25000,2021
STUD_202,22,Other,Widowed,Journalism,Referral,Rural,Bachelor,Unemployed,5,1,2,7,1.37,1,5,2.5,25000,2021
STUD_203,26,Other,Divorced,Technologies,Referral,Suburban,PhD,Employed,1,6,4,6,3.46,0,5,2.5,25000,2021
STUD_206,26,Male,Widowed,Nursing,Online,Rural,Bachelor,Unemployed,1,3,2,4,0.77,0,5,2.5,25000,2021
STUD_207,22,Male,Single,Education,In-person,Suburban,High School,Unemployed,1,0,8,4,3.49,1,5,2.5,25000,2021
STUD_208,28,Male,Divorced,Journalism,Online,Urban,PhD,Part-time,0,2,2,7,5.423419146,1,5,2.5,25000,2021
STUD_209,19,Male,Married,Social Service,Referral,Suburban,High School,Unemployed,5,1,8,0,3.2,0,5,2.5,25000,2021
STUD_210,22,Male,Widowed,Agronomy,Online,Suburban,Master,Part-time,7,7,2,2,2.71,0,5,2.5,25000,2021
STUD_211,30,Female,Divorced,Social Service,In-person,Urban,Bachelor,Part-time,4,0,3,0,1.89,0,5,2.5,25000,2021
STUD_212,25,Female,Married,Design,Online,Suburban,Bachelor,Part-time,8,3,5,8,0.41,0,5,2.5,25000,2021
STUD_213,20,Female,Divorced,Journalism,Online,Suburban,High School,Part-time,2,0,5,3,0.78,1,5,2.5,25000,2021
STUD_214,29,Female,Married,Design,Referral,Urban,None,Unemployed,6,4,1,7,0.89,0,5,2.5,25000,2021
STUD_215,23,Other,Divorced,Management,Referral,Rural,Bachelor,Unemployed,4,0,0,1,0.48,0,5,2.5,25000,2021
STUD_216,24,Male,Single,Nursing,Online,Rural,None,Unemployed,1,0,0,3,3.76,0,5,2.5,25000,2021
STUD_217,30,Female,Widowed,Agronomy,Referral,Urban,None,Employed,4,6,7,5,1.54,1,5,2.5,25000,2021
STUD_218,25,Male,Married,Journalism,Online,Rural,None,Part-time,6,3,3,7,0.91,1,5,2.5,25000,2021
STUD_219,22,Female,Divorced,Journalism,Referral,Rural,Bachelor,Part-time,1,8,2,7,1.37,0,5,2.5,25000,2021
STUD_220,28,Other,Divorced,Social Service,Online,Rural,PhD,Part-time,6,4,3,4,3.15,0,5,2.5,25000,2021
STUD_221,22,Male,Married,Design,Online,Urban,Master,Employed,2,1,3,1,,0,5,2.5,25000,2021
STUD_222,26,Other,Divorced,Agronomy,Referral,Rural,High School,Unemployed,4,3,7,5,2.91,1,5,2.5,25000,2021
STUD_223,23,Male,Single,Management,Referral,Urban,Master,Part-time,3,0,1,8,3.17,1,5,2.5,25000,2021
STUD_224,27,Other,Widowed,Management,Referral,Urban,Bachelor,Employed,1,5,5,8,0.04,0,5,2.5,25000,2021
STUD_225,29,Male,Divorced,Design,Referral,Suburban,Bachelor,Part-time,6,6,7,8,0.41,0,5,2.5,25000,2021
STUD_226,26,Other,Married,Education,In-person,Rural,None,Employed,4,8,6,7,2.04,0,5,2.5,25000,2021
STUD_227,21,Female,Married,Agronomy,In-person,Suburban,Master,Employed,5,7,7,1,1.96,1,5,2.5,25000,2021
STUD_228,30,Male,Single,Journalism,Online,Suburban,None,Unemployed,1,8,7,3,3.82,1,5,2.5,25000,2021
STUD_229,28,Female,Widowed,Social Service,Referral,Rural,None,Unemployed,1,6,6,1,1.19,1,5,2.5,25000,2021
STUD_230,27,Other,Divorced,Design,Online,Rural,Master,Employed,6,3,6,7,2.06,1,5,2.5,25000,2021
STUD_231,30,Female,Married,Management,Referral,Rural,Master,Part-time,8,4,6,7,2.76,1,5,2.5,25000,2021
STUD_232,18,Male,Divorced,Education,In-person,Urban,PhD,Unemployed,1,5,7,3,0.58,0,5,2.5,25000,2021
STUD_233,30,Male,Widowed,Technologies,In-person,Rural,Master,Employed,3,1,2,5,3.58,1,5,2.5,25000,2021
STUD_234,30,Other,Single,Agronomy,Online,Rural,PhD,Part-time,7,5,2,0,0.34,1,5,2.5,25000,2021
STUD_236,23,Other,Married,Education,Referral,Suburban,PhD,Employed,1,7,7,0,5.65258274,1,5,2.5,25000,2021
STUD_237,22,Male,Married,Journalism,In-person,Urban,PhD,Unemployed,3,6,7,5,0.46,0,5,2.5,25000,2021
STUD_238,18,Female,Single,Agronomy,Online,Suburban,Bachelor,Unemployed,4,1,7,2,1.55,1,5,2.5,25000,2021
STUD_239,26,Male,Married,Education,Online,Rural,PhD,Unemployed,7,7,2,8,1.56,1,5,2.5,25000,2021
STUD_240,21,Other,Divorced,Management,In-person,Suburban,Master,Employed,6,4,2,4,3.59,1,5,2.5,25000,2021
